name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Nathan Redmond,MID,Southampton,0.0,0,0,0,0,0.0,403,0.0,0.0,0.0,0.0,267,0,0,0.0,0.0,2023-03-12T14:00:00Z,0,0,0,0,0,27,0,2845,0,0,0,0.0,0,-10,0,10,53,False,0,Man Utd
Nathan Redmond,MID,Southampton,0.0,0,0,0,0,0.0,403,0.0,0.0,0.0,0.0,69,0,0,0.0,0.0,2023-03-15T19:30:00Z,0,0,0,0,0,27,0,2845,0,2,0,0.0,0,-10,0,10,53,True,0,Brentford
Junior Stanislas,MID,Bournemouth,-0.2,0,0,0,0,0.0,58,0.0,0.0,0.0,0.0,261,0,0,0.0,0.0,2023-03-11T12:30:00Z,0,0,0,0,0,27,0,2249,0,0,1,0.0,0,-7,40,47,48,True,0,Liverpool
Armando Broja,FWD,Chelsea,0.0,0,0,0,0,0.0,150,0.0,0.0,0.0,0.0,266,0,0,0.0,0.0,2023-03-11T15:00:00Z,0,0,0,0,0,27,0,38843,0,3,1,0.0,0,-255,103,358,52,False,0,Leicester
Fabian Schär,DEF,Newcastle,1.1,0,0,15,0,0.7,366,0.0,0.18,0.18,1.12,268,1,0,4.1,17.0,2023-03-12T16:30:00Z,90,0,0,0,0,27,0,1430684,1,1,2,23.0,2,-201333,11719,213052,51,True,0,Wolves
Jeremiah Chilokoa-Mullen,DEF,Leeds,0.0,0,0,0,0,0.0,742,0.0,0.0,0.0,0.0,265,0,0,0.0,0.0,2023-03-11T15:00:00Z,0,0,0,0,0,27,0,510,0,2,2,0.0,0,43,82,39,40,True,0,Brighton
Jonny Evans,DEF,Leicester,0.2,0,0,3,0,0.0,249,0.0,0.0,0.0,0.0,266,0,0,0.1,1.4,2023-03-11T15:00:00Z,1,0,0,0,0,27,0,17057,0,3,1,0.0,1,-101,22,123,44,True,0,Chelsea
Enzo Fernández,MID,Chelsea,3.0,1,0,23,0,16.7,724,0.43,0.43,0.0,2.35,266,1,0,5.2,35.0,2023-03-11T15:00:00Z,90,0,0,0,0,27,0,118171,1,3,1,0.0,5,-17274,8891,26165,50,False,0,Leicester
Brennan Johnson,FWD,Nott'm Forest,4.8,0,0,9,0,17.8,394,0.01,0.07,0.05,1.71,269,3,0,5.4,9.2,2023-03-11T15:00:00Z,66,0,0,0,0,27,0,290079,1,1,3,27.0,2,39965,67499,27534,57,False,0,Spurs
Cheick Doucouré,MID,Crystal Palace,0.0,0,0,0,0,0.0,514,0.0,0.0,0.0,0.0,262,0,0,0.0,0.0,2023-03-11T17:30:00Z,0,0,0,0,0,27,0,11362,0,1,0,0.0,0,-645,23,668,50,True,0,Man City
