name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,web_name
Eric Bailly,DEF,Man Utd,0.8,0,0,0,0,0.0,286,233,0,0,0.0,0.0,2022-02-08T20:00:00Z,0,0,0,0,0,24,0,11075,1,1,0.0,0,-192,66,258,49,False,0,Burnley,Bailly
Keinan Davis,FWD,Aston Villa,0.0,0,0,0,0,0.0,49,231,0,0,0.0,0.0,2022-02-09T20:00:00Z,0,0,0,0,0,24,0,170619,3,3,0.0,0,-8371,0,8371,45,True,0,Leeds,Davis
Ayotomiwa Dele-Bashiru,MID,Watford,0.0,0,0,0,0,0.0,394,235,0,0,0.0,0.0,2022-02-08T19:45:00Z,0,0,0,0,0,24,0,892,0,1,0.0,0,-11,0,11,45,False,0,West Ham,Dele-Bashiru
James Ward-Prowse,MID,Southampton,5.8,2,3,39,0,72.6,341,240,2,0,15.5,67.6,2022-02-09T19:45:00Z,90,0,0,0,0,24,0,309399,3,2,15.0,11,6966,24271,17305,63,False,0,Spurs,Ward-Prowse
Bruno Miguel Borges Fernandes,MID,Man Utd,6.0,0,0,20,0,86.5,277,233,1,0,16.7,27.2,2022-02-08T20:00:00Z,90,0,0,0,0,24,0,1805775,1,1,53.0,2,-21174,132610,153784,117,False,0,Burnley,Fernandes
Adrián San Miguel del Castillo,GK,Liverpool,1.0,0,0,0,0,0.0,223,237,0,0,0.0,0.0,2022-02-10T19:45:00Z,0,0,0,0,0,24,0,16321,0,2,0.0,0,-59,71,130,43,True,0,Leicester,Adrián
James McArthur,MID,Crystal Palace,0.4,0,0,0,0,0.0,148,234,0,0,0.0,0.0,2022-02-09T19:45:00Z,0,0,0,0,0,24,0,107715,1,1,0.0,0,-3425,1047,4472,43,False,0,Norwich,McArthur
Moise Kean,FWD,Everton,0.0,0,0,0,0,0.0,564,239,0,0,0.0,0.0,2022-02-08T19:45:00Z,0,0,0,0,0,24,0,1110,1,3,0.0,0,-6,0,6,60,False,0,Newcastle,Kean
Kwadwo Baah,MID,Watford,-0.8,0,0,0,0,0.0,405,235,0,0,0.0,0.0,2022-02-08T19:45:00Z,0,0,0,0,0,24,0,6749,0,1,0.0,0,320,567,247,43,False,0,West Ham,Baah
Paul Dummett,DEF,Newcastle,0.4,0,0,0,0,0.0,301,239,0,0,0.0,0.0,2022-02-08T19:45:00Z,0,0,0,0,0,24,0,1040,1,3,0.0,0,-42,35,77,45,True,0,Everton,Dummett
Jairo Riedewald,MID,Crystal Palace,0.5,0,0,0,0,0.0,157,234,0,0,0.0,0.0,2022-02-09T19:45:00Z,0,0,0,0,0,24,0,2609,1,1,0.0,0,-5,41,46,47,False,0,Norwich,Riedewald
Willy Boly,DEF,Wolves,-0.1,0,0,0,0,0.0,428,236,0,0,0.0,0.0,2022-02-10T19:45:00Z,0,0,0,0,0,24,0,6717,1,0,0.0,0,-108,32,140,49,True,0,Arsenal,Boly
José Diogo Dalot Teixeira,DEF,Man Utd,4.5,0,0,16,0,23.0,510,233,1,0,4.4,19.0,2022-02-08T20:00:00Z,90,0,0,0,0,24,0,292287,1,1,2.0,2,74240,88357,14117,45,False,0,Burnley,Dalot
Jeffrey Schlupp,MID,Crystal Palace,3.2,0,0,7,0,4.1,155,234,1,0,3.8,11.8,2022-02-09T19:45:00Z,79,0,0,0,0,24,0,5300,1,1,22.0,2,85,466,381,54,False,0,Norwich,Schlupp
