name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team,team,position
Ederson Santana de Moraes,0,0,16,0,0.0,212,175,1,0,0.9,9.4,2019-12-21T17:30:00Z,90,0,0,0,0,18,1,994042,1,3,0.0,2,-14118,7437,21555,60,True,0,Leicester,Man City,GK
Hugo Lloris,0,0,0,0,0.0,340,178,0,0,0.0,0.0,2019-12-22T16:30:00Z,0,0,0,0,0,18,0,249034,2,0,0.0,0,-4080,73,4153,53,True,0,Chelsea,Spurs,GK
Cenk Tosun,0,0,4,1,1.1,146,174,0,0,1.1,0.0,2019-12-21T12:30:00Z,68,0,0,0,0,18,0,7998,0,0,11.0,2,-164,118,282,57,True,0,Arsenal,Everton,FWD
Callum Robinson,0,0,0,0,0.0,453,173,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,21355,1,0,0.0,0,-1447,119,1566,51,False,0,Brighton,Sheffield Utd,MID
Heung-Min Son,0,0,-3,0,1.3,342,178,2,0,0.4,0.0,2019-12-22T16:30:00Z,61,0,0,0,1,18,0,1759586,2,0,8.0,-1,182722,232314,49592,101,True,0,Chelsea,Spurs,MID
João Filipe Iria Santos Moutinho,1,0,22,0,30.0,415,177,1,0,7.1,22.6,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,416178,2,1,18.0,4,8770,30993,22223,54,False,1,Norwich,Wolves,MID
Danny Rose,0,0,5,0,1.0,332,178,0,0,0.6,5.4,2019-12-22T16:30:00Z,16,0,0,0,0,18,0,103593,2,0,0.0,1,-2283,1079,3362,53,True,0,Chelsea,Newcastle,DEF
Martin Kelly,0,0,10,0,2.8,128,176,1,0,1.5,10.2,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,2292298,0,1,2.0,2,117359,133019,15660,44,False,0,Newcastle,Crystal Palace,DEF
Harry Winks,0,0,0,0,0.0,347,178,0,0,0.0,0.0,2019-12-22T16:30:00Z,0,0,0,0,0,18,0,19455,2,0,0.0,0,-377,195,572,52,True,0,Chelsea,Spurs,MID
Scott Carson,0,0,0,0,0.0,562,175,0,0,0.0,0.0,2019-12-21T17:30:00Z,0,0,0,0,0,18,0,3561,1,3,0.0,0,234,495,261,40,True,0,Leicester,Man City,GK
Ashley Westwood,1,0,11,1,12.8,101,172,0,0,3.5,20.4,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,23529,1,0,2.0,5,816,1805,989,54,False,1,Bournemouth,Burnley,MID
Lucas Digne,0,3,29,1,16.3,141,174,0,0,3.2,16.0,2019-12-21T12:30:00Z,90,0,0,0,0,18,0,819287,0,0,0.0,9,-60678,1193,61871,57,True,0,Arsenal,Everton,DEF
Ayoze Pérez,0,0,6,0,11.7,265,175,2,0,2.2,7.4,2019-12-21T17:30:00Z,67,0,0,0,0,18,0,337973,1,3,3.0,2,-67832,2840,70672,61,False,0,Man City,Leicester,MID
Nathan Aké,0,0,0,0,0.0,59,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,617166,1,0,0.0,0,-140350,398,140748,49,True,0,Burnley,Bournemouth,DEF
Isaac Hayden,0,0,8,1,5.7,271,176,0,0,1.4,4.4,2019-12-21T15:00:00Z,63,0,0,0,0,18,0,272038,0,1,4.0,3,-7290,4146,11436,44,True,0,Crystal Palace,Newcastle,MID
Patrick van Aanholt,0,0,21,0,66.3,123,176,1,0,8.8,20.2,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,420319,0,1,1.0,2,-53985,1113,55098,55,False,0,Newcastle,Crystal Palace,DEF
Ken Sema,0,0,0,0,0.0,372,179,0,0,0.0,0.0,2019-12-22T14:00:00Z,0,0,0,0,0,18,0,1421,0,2,0.0,0,-59,12,71,48,True,0,Man Utd,Watford,MID
Jonny Evans,0,0,17,0,4.0,162,175,3,0,2.8,24.0,2019-12-21T17:30:00Z,90,0,0,0,0,18,0,409224,1,3,0.0,1,24970,45739,20769,52,False,0,Man City,Leicester,DEF
Jorge Luiz Frello Filho,0,0,13,0,14.5,118,178,0,0,2.4,9.4,2019-12-22T16:30:00Z,22,0,0,0,0,18,0,243561,2,0,0.0,1,-11152,3871,15023,50,False,0,Spurs,Chelsea,MID
Kortney Hause,0,0,12,0,1.2,25,171,3,0,3.2,28.6,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,4354,3,1,2.0,1,-16,62,78,44,True,0,Southampton,Aston Villa,DEF
Mahmoud Ahmed Ibrahim Hassan,0,0,4,0,18.5,465,171,0,0,6.2,8.0,2019-12-21T15:00:00Z,22,0,0,0,0,18,0,108968,3,1,35.0,1,-4870,4699,9569,52,True,0,Southampton,Aston Villa,MID
Kyle Walker,0,0,15,0,14.8,203,175,1,0,2.5,8.6,2019-12-21T17:30:00Z,90,0,0,0,0,18,0,858432,1,3,2.0,2,9930,24635,14705,58,True,0,Leicester,Man City,DEF
Diego Rico,0,0,9,0,6.6,65,172,1,0,1.7,10.8,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,1139737,1,0,0.0,1,116555,123934,7379,44,True,1,Burnley,Bournemouth,DEF
Ryan Bertrand,0,0,13,0,24.8,305,171,1,0,5.7,10.0,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,41542,3,1,22.0,2,1296,2563,1267,48,False,0,Aston Villa,Southampton,DEF
Erik Lamela,0,0,0,0,0.0,346,178,0,0,0.0,0.0,2019-12-22T16:30:00Z,0,0,0,0,0,18,0,84003,2,0,0.0,0,-2469,25,2494,57,True,0,Chelsea,Spurs,MID
Allan Saint-Maximin,0,0,0,0,0.0,500,176,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,22573,0,1,0.0,0,-5986,148,6134,54,True,0,Crystal Palace,Newcastle,MID
Edward Nketiah,0,0,0,0,0.0,13,174,0,0,0.0,0.0,2019-12-21T12:30:00Z,0,0,0,0,0,18,0,43225,0,0,0.0,0,-1635,578,2213,43,False,0,Everton,Arsenal,FWD
Callum Wilson,0,0,1,0,5.3,67,172,1,0,1.1,1.8,2019-12-21T15:00:00Z,45,0,0,0,0,18,0,343493,1,0,4.0,1,-32044,374,32418,74,True,0,Burnley,Bournemouth,FWD
Antonio Rüdiger,0,0,17,1,1.8,104,178,0,0,0.8,5.4,2019-12-22T16:30:00Z,90,0,0,0,0,18,0,12414,2,0,1.0,5,1465,2113,648,60,False,1,Spurs,Chelsea,DEF
Glenn Murray,0,0,-2,0,4.2,44,173,0,0,0.9,0.8,2019-12-21T15:00:00Z,45,0,0,0,0,18,0,55759,1,0,4.0,1,-884,473,1357,55,True,0,Sheffield Utd,Brighton,FWD
Arnaut Danjuma Groeneveld,0,0,0,0,0.0,492,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,2274,1,0,0.0,0,-183,10,193,58,True,0,Burnley,Bournemouth,MID
José Holebas,0,0,0,0,0.0,353,179,0,0,0.0,0.0,2019-12-22T14:00:00Z,0,0,0,0,0,18,0,55649,0,2,0.0,0,-3611,6,3617,47,True,0,Man Utd,Watford,DEF
Yves Bissouma,0,0,1,0,6.8,53,173,0,0,2.5,4.4,2019-12-21T15:00:00Z,34,0,0,0,0,18,0,998,1,0,14.0,0,6,51,45,50,True,1,Sheffield Utd,Brighton,MID
Connor Wickham,0,0,0,0,0.0,130,176,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,165604,0,1,0.0,0,-4611,745,5356,44,False,0,Newcastle,Crystal Palace,FWD
Josip Drmic,0,0,0,0,0.0,434,177,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,4429,2,1,0.0,0,-110,28,138,54,True,0,Wolves,Norwich,FWD
Romain Saïss,0,0,22,0,1.3,407,177,1,1,8.3,48.6,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,32376,2,1,33.0,7,731,1857,1126,44,False,1,Norwich,Wolves,DEF
Andrew Surman,0,0,0,0,0.0,80,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,2465,1,0,0.0,0,-17,41,58,47,True,0,Burnley,Bournemouth,MID
Onel Hernández,0,0,5,0,0.3,284,177,0,0,0.2,2.0,2019-12-21T15:00:00Z,3,0,0,0,0,18,0,5658,2,1,0.0,1,-158,250,408,53,True,0,Wolves,Norwich,MID
Sofiane Boufal,0,0,0,0,0.0,508,171,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,6890,3,1,0.0,0,-425,16,441,55,False,0,Aston Villa,Southampton,MID
Bernardo Fernandes da Silva Junior,0,0,0,0,0.0,39,173,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,6392,1,0,0.0,0,15,96,81,43,True,0,Sheffield Utd,Brighton,DEF
Paulo Gazzaniga,0,0,3,0,0.0,341,178,2,0,0.0,0.0,2019-12-22T16:30:00Z,90,0,0,0,0,18,1,310014,2,0,0.0,0,-75,11215,11290,46,True,1,Chelsea,Spurs,GK
Danny Welbeck,0,0,0,0,0.0,512,179,0,0,0.0,0.0,2019-12-22T14:00:00Z,0,0,0,0,0,18,0,8444,0,2,0.0,0,-79,30,109,58,True,0,Man Utd,Watford,FWD
Ben Foster,0,3,37,1,0.0,366,179,0,0,5.3,53.2,2019-12-22T14:00:00Z,90,0,0,0,0,18,8,137469,0,2,0.0,11,-3089,1246,4335,48,True,0,Man Utd,Watford,GK
Pierre-Emile Højbjerg,0,0,15,0,12.1,325,171,1,0,5.5,23.2,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,26969,3,1,20.0,2,-947,631,1578,48,False,0,Aston Villa,Southampton,MID
Lee Grant,0,0,0,0,0.0,237,179,0,0,0.0,0.0,2019-12-22T14:00:00Z,0,0,0,0,0,18,0,7308,0,2,0.0,0,-62,13,75,48,False,0,Watford,Man Utd,GK
Mace Goodridge,0,0,0,0,0.0,571,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,121,1,0,0.0,0,3,25,22,45,False,0,Bournemouth,Burnley,MID
Eldin Jakupovic,0,0,0,0,0.0,169,175,0,0,0.0,0.0,2019-12-21T17:30:00Z,0,0,0,0,0,18,0,6518,1,3,0.0,0,-87,44,131,43,False,0,Man City,Leicester,GK
Billy Sharp,0,0,0,0,0.0,298,173,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,22109,1,0,0.0,0,-307,172,479,56,False,0,Brighton,Sheffield Utd,FWD
Artur Boruc,0,0,0,0,0.0,73,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,18992,1,0,0.0,0,-170,136,306,43,True,0,Burnley,Bournemouth,GK
Jan Vertonghen,0,0,12,0,0.7,330,178,2,0,1.1,10.6,2019-12-22T16:30:00Z,73,0,0,0,0,18,0,142775,2,0,0.0,1,23847,26335,2488,52,True,0,Chelsea,Spurs,DEF
Nick Pope,0,1,22,1,0.0,93,172,0,0,0.2,2.4,2019-12-21T15:00:00Z,90,0,0,0,0,18,0,1040881,1,0,0.0,7,-3268,13154,16422,47,False,0,Bournemouth,Burnley,GK
Steven Defour,0,0,0,0,0.0,99,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,0,0,0,0,18,0,255,1,0,0.0,0,-8,6,14,55,False,0,Bournemouth,Burnley,MID
Adam Masina,0,0,0,0,0.0,355,179,0,0,0.0,0.0,2019-12-22T14:00:00Z,0,0,0,0,0,18,0,4393,0,2,0.0,0,-192,10,202,43,True,0,Man Utd,Watford,DEF
